pokemon_id,version_group_id,move_id,pokemon_move_method_id,level,order,mastery
1,17,33,1,1,,
1,17,45,1,3,,
1,17,22,1,7,,
1,17,22,1,9,,
1,17,77,1,13,1.0,
1,17,79,1,13,2.0,
1,17,36,1,15,,
1,17,75,1,19,,
1,17,230,1,21,,
1,17,74,1,25,,
1,17,38,1,27,,
1,17,388,1,31,,
1,17,235,1,33,,
1,17,402,1,37,,
1,17,80,2,0,,
1,17,124,2,0,,
1,17,130,2,0,,
1,17,133,2,0,,
1,17,174,2,0,,
1,17,202,2,0,,
1,17,203,2,0,,
1,17,204,2,0,,
1,17,267,2,0,,
1,17,275,2,0,,
1,17,320,2,0,,
1,17,345,2,0,,
1,17,437,2,0,,
1,17,438,2,0,,
1,17,580,2,0,,
1,17,520,3,0,,
1,17,14,4,0,,
1,17,76,4,0,,
1,17,92,4,0,,
1,17,104,4,0,,
1,17,113,4,0,,
1,17,156,4,0,,
1,17,164,4,0,,
1,17,182,4,0,,
1,17,188,4,0,,
1,17,207,4,0,,
1,17,213,4,0,,
1,17,214,4,0,,
1,17,216,4,0,,
1,17,218,4,0,,
1,17,219,4,0,,
1,17,237,4,0,,
1,17,241,4,0,,
1,17,263,4,0,,
1,17,267,4,0,,
1,17,412,4,0,,
1,17,447,4,0,,
1,17,474,4,0,,
1,17,496,4,0,,
1,17,497,4,0,,
1,17,526,4,0,,
1,17,590,4,0,,
2,17,33,1,1,1.0,
2,17,45,1,1,2.0,
2,17,73,1,1,3.0,
2,17,45,1,3,,
2,17,73,1,7,,
2,17,22,1,9,,
2,17,77,1,13,1.0,
2,17,79,1,13,2.0,
2,17,36,1,15,,
2,17,75,1,20,,
2,17,230,1,23,,
2,17,74,1,28,,
2,17,38,1,31,,
2,17,388,1,36,,
2,17,235,1,39,,
2,17,76,1,44,,
2,17,520,3,0,,
2,17,14,4,0,,
2,17,76,4,0,,
2,17,92,4,0,,
2,17,104,4,0,,
2,17,113,4,0,,
2,17,156,4,0,,
2,17,164,4,0,,
2,17,182,4,0,,
2,17,188,4,0,,
2,17,207,4,0,,
2,17,213,4,0,,
2,17,214,4,0,,
2,17,216,4,0,,
2,17,218,4,0,,
2,17,219,4,0,,
2,17,237,4,0,,
2,17,241,4,0,,
2,17,263,4,0,,
2,17,267,4,0,,
2,17,412,4,0,,
2,17,447,4,0,,
2,17,474,4,0,,
2,17,496,4,0,,
2,17,497,4,0,,
2,17,526,4,0,,
2,17,590,4,0,,
3,17,80,1,0,,
3,17,22,1,1,5.0,
3,17,33,1,1,2.0,
3,17,45,1,1,3.0,
3,17,73,1,1,4.0,
3,17,80,1,1,1.0,
3,17,45,1,3,,
3,17,73,1,7,,
3,17,22,1,9,,
3,17,77,1,13,1.0,
3,17,79,1,13,2.0,
3,17,36,1,15,,
3,17,75,1,20,,
3,17,230,1,23,,
3,17,74,1,28,,
3,17,38,1,31,,
3,17,388,1,39,,
3,17,235,1,45,,
3,17,572,1,50,,
3,17,76,1,53,,
3,17,338,3,0,,
3,17,520,3,0,,
3,17,14,4,0,,
3,17,46,4,0,,
3,17,63,4,0,,
3,17,76,4,0,,
3,17,89,4,0,,
3,17,92,4,0,,
3,17,104,4,0,,
3,17,113,4,0,,
3,17,156,4,0,,
3,17,164,4,0,,
3,17,182,4,0,,
3,17,188,4,0,,
3,17,207,4,0,,
3,17,213,4,0,,
3,17,214,4,0,,
3,17,216,4,0,,
3,17,218,4,0,,
3,17,219,4,0,,
3,17,237,4,0,,
3,17,241,4,0,,
3,17,263,4,0,,
3,17,267,4,0,,
3,17,412,4,0,,
3,17,416,4,0,,
3,17,447,4,0,,
3,17,474,4,0,,
3,17,496,4,0,,
3,17,497,4,0,,
3,17,523,4,0,,
3,17,526,4,0,,
3,17,590,4,0,,
4,17,10,1,1,1.0,
4,17,45,1,1,2.0,
4,17,52,1,7,,
4,17,108,1,10,,
4,17,82,1,16,,
4,17,184,1,19,,
4,17,424,1,25,,
4,17,481,1,28,,
4,17,163,1,34,,
4,17,53,1,37,,
4,17,83,1,43,,
4,17,517,1,46,,
4,17,44,2,0,,
4,17,68,2,0,,
4,17,187,2,0,,
4,17,200,2,0,,
4,17,232,2,0,,
4,17,242,2,0,,
4,17,246,2,0,,
4,17,251,2,0,,
4,17,264,2,0,,
4,17,314,2,0,,
4,17,349,2,0,,
4,17,394,2,0,,
4,17,406,2,0,,
4,17,407,2,0,,
4,17,519,3,0,,
4,17,14,4,0,,
4,17,53,4,0,,
4,17,92,4,0,,
4,17,104,4,0,,
4,17,126,4,0,,
4,17,156,4,0,,
4,17,157,4,0,,
4,17,164,4,0,,
4,17,182,4,0,,
4,17,207,4,0,,
4,17,213,4,0,,
4,17,214,4,0,,
4,17,216,4,0,,
4,17,218,4,0,,
4,17,237,4,0,,
4,17,241,4,0,,
4,17,261,4,0,,
4,17,263,4,0,,
4,17,280,4,0,,
4,17,315,4,0,,
4,17,317,4,0,,
4,17,332,4,0,,
4,17,337,4,0,,
4,17,374,4,0,,
4,17,421,4,0,,
4,17,488,4,0,,
4,17,496,4,0,,
4,17,497,4,0,,
4,17,526,4,0,,
4,17,590,4,0,,
5,17,10,1,1,1.0,
5,17,45,1,1,2.0,
5,17,52,1,1,3.0,
5,17,52,1,7,,
5,17,108,1,10,,
5,17,82,1,17,,
5,17,184,1,21,,
5,17,424,1,28,,
5,17,481,1,32,,
5,17,163,1,39,,
5,17,53,1,43,,
5,17,83,1,50,,
5,17,517,1,54,,
5,17,519,3,0,,
5,17,14,4,0,,
5,17,53,4,0,,
5,17,92,4,0,,
5,17,104,4,0,,
5,17,126,4,0,,
5,17,156,4,0,,
5,17,157,4,0,,
5,17,164,4,0,,
5,17,182,4,0,,
5,17,207,4,0,,
5,17,213,4,0,,
5,17,214,4,0,,
5,17,216,4,0,,
5,17,218,4,0,,
5,17,237,4,0,,
5,17,241,4,0,,
5,17,261,4,0,,
5,17,263,4,0,,
5,17,280,4,0,,
5,17,315,4,0,,
5,17,317,4,0,,
5,17,332,4,0,,
5,17,337,4,0,,
5,17,374,4,0,,
5,17,421,4,0,,
5,17,488,4,0,,
5,17,496,4,0,,
5,17,497,4,0,,
5,17,526,4,0,,
5,17,590,4,0,,
6,17,17,1,0,,
6,17,10,1,1,7.0,
6,17,17,1,1,1.0,
6,17,45,1,1,8.0,
6,17,52,1,1,9.0,
6,17,257,1,1,3.0,
6,17,337,1,1,4.0,
6,17,394,1,1,2.0,
6,17,403,1,1,6.0,
6,17,421,1,1,5.0,
6,17,52,1,7,,
6,17,108,1,10,,
6,17,82,1,17,,
6,17,184,1,21,,
6,17,424,1,28,,
6,17,481,1,32,,
6,17,163,1,41,,
6,17,53,1,47,,
6,17,83,1,56,,
6,17,517,1,62,,
6,17,257,1,71,,
6,17,394,1,77,,
6,17,307,3,0,,
6,17,519,3,0,,
6,17,14,4,0,,
6,17,19,4,0,,
6,17,46,4,0,,
6,17,53,4,0,,
6,17,63,4,0,,
6,17,76,4,0,,
6,17,89,4,0,,
6,17,92,4,0,,
6,17,104,4,0,,
6,17,126,4,0,,
6,17,156,4,0,,
6,17,157,4,0,,
6,17,164,4,0,,
6,17,182,4,0,,
6,17,207,4,0,,
6,17,211,4,0,,
6,17,213,4,0,,
6,17,214,4,0,,
6,17,216,4,0,,
6,17,218,4,0,,
6,17,237,4,0,,
6,17,241,4,0,,
6,17,261,4,0,,
6,17,263,4,0,,
6,17,280,4,0,,
6,17,315,4,0,,
6,17,317,4,0,,
6,17,332,4,0,,
6,17,337,4,0,,
6,17,355,4,0,,
6,17,374,4,0,,
6,17,411,4,0,,
6,17,416,4,0,,
6,17,421,4,0,,
6,17,488,4,0,,
6,17,496,4,0,,
6,17,497,4,0,,
6,17,507,4,0,,
6,17,523,4,0,,
6,17,525,4,0,,
6,17,526,4,0,,
6,17,590,4,0,,
6,17,693,4,0,,
7,17,33,1,1,,
7,17,39,1,4,,
7,17,55,1,7,,
7,17,110,1,10,,
7,17,145,1,13,,
7,17,44,1,16,,
7,17,229,1,19,,
7,17,182,1,22,,
7,17,352,1,25,,
7,17,401,1,28,,
7,17,130,1,31,,
7,17,334,1,34,,
7,17,240,1,37,,
7,17,56,1,40,,
